#{"t_start": 1658948684.0313346, "env_id": "LunarLander_obs-v1"}
r,l,t
47.536495,67,0.227246
147.183533,85,0.493984
-84.576444,107,0.83712
94.025742,76,1.077792
137.396491,58,1.266037
41.040576,66,1.467695
-51.424968,69,1.682482
71.600014,101,2.005832
-190.233549,84,2.268893
-128.78486,91,2.548155
5.010321,104,2.873391
122.242325,91,3.153426
59.973047,74,3.394261
74.592067,92,3.689227
63.57616,82,3.939746
58.780519,103,4.275607
11.347484,84,4.54816
131.552106,65,4.7643
112.932108,93,5.058351
25.834397,71,5.293608
149.613665,111,5.655638
-65.394699,125,6.060851
97.645304,65,6.21621
141.003274,69,6.389511
78.102448,101,6.63572
-0.337157,102,6.88436
103.151205,79,7.091691
66.044501,80,7.284664
142.450062,74,7.467134
29.726869,66,7.664331
173.229303,90,7.950065
61.857211,66,8.150043
64.550728,112,8.505768
51.678597,65,8.669047
9.597709,77,8.872631
55.7,78,9.078264
145.475045,90,9.319741
134.910787,76,9.525419
48.429432,84,9.795038
81.840813,114,10.156344
-48.259036,101,10.480882
89.200799,84,10.75055
169.990304,102,11.079004
75.410288,70,11.297477
109.037544,77,11.550306
188.150951,74,11.780536
46.788441,92,12.072294
160.330121,65,12.276413
167.609808,95,12.583302
150.737878,107,12.937698
104.779059,104,13.280192
89.816924,75,13.529057
77.981282,74,13.769168
117.371504,87,14.061731
167.116115,102,14.407553
96.889629,99,14.74063
24.520923,98,15.075947
98.862374,94,15.403861
120.876652,89,15.701448
162.559988,65,15.926198
182.403558,75,16.137184
127.473265,64,16.306268
200.701548,80,16.505231
83.015355,94,16.753407
185.083111,72,16.934132
163.946578,83,17.152589
101.822585,76,17.351684
76.097265,90,17.593398
75.950329,77,17.843839
124.540001,72,18.089239
120.223621,84,18.372711
130.979738,55,18.555174
179.098643,77,18.757731
186.853737,66,18.936244
13.110258,88,19.190263
177.381423,72,19.393397
164.694779,94,19.688624
181.386015,90,19.979439
52.945513,97,20.306257
155.760622,87,20.594684
43.321584,100,20.927334
191.680453,91,21.237452
136.156131,89,21.533804
62.934787,77,21.790668
138.667325,59,21.995127
200.033257,84,22.280467
119.68795,71,22.527293
162.746772,64,22.743973
81.281511,71,22.980446
117.940831,70,23.229402
184.156268,63,23.447689
187.47061,67,23.664183
155.567711,91,23.978871
182.460047,83,24.264177
152.560212,62,24.469337
192.535783,79,24.742851
124.905683,77,25.000955
125.56988,100,25.346009
106.395978,55,25.536473
188.060726,84,25.818721
110.495484,85,26.092236
72.930711,68,26.277042
96.866886,82,26.511021
92.442634,68,26.692942
130.528185,83,26.917845
101.597719,88,27.161341
141.419216,61,27.322012
109.463805,73,27.514077
92.142065,71,27.762233
60.227738,87,28.069835
107.162313,61,28.282883
54.581233,86,28.565249
166.353199,64,28.746602
143.712166,100,29.013657
19.598158,71,29.206158
117.446839,55,29.366825
130.498079,64,29.551642
138.356777,58,29.740423
114.789219,58,29.933662
170.058947,74,30.178287
94.365974,58,30.377842
54.744719,93,30.683765
167.547739,82,30.957928
75.861288,61,31.110934
164.358886,82,31.1573
165.849463,94,31.208811
170.419059,85,31.255646
151.467584,60,31.291079
16.524151,88,31.609475
95.692769,59,31.812627
170.12387,63,32.036281
173.01853,61,32.244936
91.010389,85,32.536759
136.553033,82,32.829582
87.499729,86,33.129944
154.521303,76,33.398698
91.290771,59,33.612858
122.348182,58,33.828782
121.313563,61,34.041396
161.783725,79,34.316917
133.934779,78,34.563636
81.828157,79,34.837383
96.688506,63,35.064124
172.314528,71,35.304236
129.045757,72,35.561871
126.122728,58,35.773542
110.460721,64,36.00042
24.949006,75,36.215049
113.533586,96,36.48862
110.094029,100,36.761019
69.667323,91,37.006295
140.905188,69,37.207033
56.177395,101,37.480979
136.766826,73,37.724593
73.645787,87,38.018538
127.100689,76,38.28874
154.68062,104,38.626206
133.052005,94,38.882478
124.306629,71,39.091036
152.48627,74,39.304259
90.76073,66,39.482884
75.127099,94,39.812436
93.788939,67,40.036642
108.011418,66,40.279952
95.810593,80,40.560532
143.46294,90,40.867882
115.449209,77,41.148792
95.567864,86,41.441038
80.562941,89,41.744859
117.087318,79,42.015508
106.45683,70,42.267482
170.549894,84,42.561319
93.625608,76,42.823722
77.526925,78,43.09577
116.131118,87,43.417245
178.903015,88,43.741704
96.542136,73,44.005432
106.362571,95,44.35121
93.974059,78,44.615153
154.64317,83,44.940426
96.365592,83,45.258868
69.852376,76,45.543284
116.630253,69,45.795378
153.407944,102,46.13884
126.861466,83,46.364403
73.697153,81,46.595918
57.411141,94,46.866489
134.214382,88,47.113425
108.785824,76,47.33638
100.062181,80,47.610883
123.494322,84,47.918802
104.814845,72,48.197298
124.212291,96,48.641972
128.252055,84,49.085017
135.379158,85,49.466461
111.481854,109,49.823589
118.500349,107,50.216791
173.845963,92,50.493057
88.914397,113,50.909153
107.857799,79,51.26377
176.159083,91,51.70546
99.299868,87,52.081598
54.24156,78,52.351946
27.136836,81,52.651318
51.439637,109,53.024697
163.356879,118,53.424786
170.985074,110,53.814834
55.253072,74,54.094614
144.660444,90,54.411533
38.759245,78,54.672243
82.24745,69,54.931396
82.410075,73,55.259256
115.892918,99,55.773006
145.836485,84,56.168802
78.389398,97,56.59927
80.602919,69,56.90844
130.75285,118,57.278016
78.626469,72,57.546967
26.610753,85,57.863677
45.349416,118,58.380893
148.145457,102,58.725762
83.846725,113,59.132224
110.643784,96,59.46462
108.461315,108,59.802714
79.537104,95,60.129537
169.235556,87,60.423131
104.292848,98,60.801453
169.511762,81,61.093922
10.481733,102,61.468329
129.864633,101,61.814666
119.935181,89,62.260014
107.072826,94,62.615355
98.647219,93,62.985989
103.741846,89,63.286952
130.342815,128,63.779524
96.890575,115,64.117573
179.542772,105,64.400014
145.642461,100,64.66343
81.944693,108,64.967371
127.616924,134,65.39989
76.577156,108,65.851879
81.184685,98,66.209152
115.734103,137,66.707183
3.303963,124,66.796252
78.334317,83,66.847782
155.027954,124,66.923108
72.844744,94,66.981933
139.285058,118,67.059712
181.858894,109,67.479132
174.902739,109,67.878723
127.947196,126,68.301504
100.949647,80,68.553124
74.462524,84,68.811886
100.872393,88,69.091928
45.913746,89,69.349141
136.89871,128,69.719177
79.028478,87,70.078676
22.1641,76,70.374401
92.510432,98,70.782912
99.994445,91,71.109365
82.122836,82,71.399195
24.643235,88,71.726727
81.217572,117,72.16614
105.518175,117,72.661998
70.898211,80,72.935923
125.352495,139,73.432138
41.601057,115,73.842162
88.047404,134,74.322071
-6.312083,175,74.993006
110.365354,94,75.330741
100.997685,96,75.666795
15.320358,209,76.649166
84.061419,73,76.935222
93.128861,121,77.421363
-0.746602,274,78.235457
68.196893,108,78.527458
58.261512,75,78.732862
164.968949,114,79.034575
94.776234,81,79.258851
19.111792,141,79.643829
-8.556988,286,80.484868
118.959481,130,80.844744
178.507278,99,81.119388
18.064477,227,81.750592
85.366078,56,81.902048
104.118895,131,82.267768
81.473217,82,82.493323
168.406051,101,82.760939
184.922851,107,83.049081
118.727324,155,83.467791
8.209099,89,83.714249
212.359788,71,83.897062
189.892191,77,84.107181
22.262352,84,84.334068
92.729466,57,84.489782
91.696144,90,84.830166
109.539144,58,85.029529
137.392934,60,85.202368
161.553565,91,85.548505
108.724076,65,85.77815
77.800585,83,86.062919
178.308722,60,86.304017
105.416159,62,86.472224
177.368433,73,86.665968
167.839399,88,86.924656
23.795344,81,87.187216
140.513028,56,87.353388
165.834102,90,87.628299
189.68976,57,87.789053
88.952778,84,88.056469
104.627302,123,88.40547
101.83287,57,88.554594
140.324057,151,89.015628
179.96605,59,89.285532
205.181646,76,89.592991
185.771623,86,89.834767
198.224961,63,90.015479
99.852146,76,90.272275
164.356291,61,90.53333
140.564078,64,90.769024
176.951576,94,91.122524
58.583116,87,91.455939
110.5785,123,91.818537
76.892444,88,92.211223
184.082909,60,92.498343
210.930283,73,92.848443
131.698383,60,93.1559
81.321714,59,93.432892
-17.395919,375,95.098996
101.585745,73,95.433321
136.498464,67,95.666022
145.806073,207,96.529123
130.606271,59,96.856781
151.25958,68,97.228766
