#{"t_start": 1658942979.7406678, "env_id": "LunarLander-v3"}
r,l,t
-132.614555,68,15.77069
-278.237559,96,15.99525
-102.917886,67,16.169887
-166.203145,137,17.00603
-158.233715,58,17.157085
-118.192358,109,17.411711
-93.72921,79,17.59962
-104.113081,111,17.875929
-198.06164,80,18.068698
-125.913879,132,18.400576
-84.509804,76,18.580356
-88.070592,72,18.763673
-98.750481,75,18.933095
-145.554628,131,19.259105
-133.732207,78,19.447904
-186.537975,73,19.626096
-68.055707,67,19.806967
-98.115423,138,20.137053
-255.830833,115,20.427071
-148.78591,103,20.675417
-189.151773,92,20.906584
-101.774881,99,21.678447
-106.701102,88,21.896378
-176.258588,110,22.172109
-16.152161,75,22.353732
-110.296955,123,22.656955
-51.141762,117,22.97021
-37.694014,90,23.21241
-111.638368,130,23.555539
-60.61639,97,23.795079
-108.270921,83,24.01766
-51.405071,148,24.401163
-69.891315,101,24.659167
-69.264546,91,24.884601
-63.682609,71,25.06816
-156.298854,117,25.365132
17.335473,210,25.900958
-54.607304,74,26.107145
-10.06467,138,26.454389
1.271401,93,26.689165
-32.067128,155,27.613263
-61.212816,87,27.86012
-69.862916,116,28.224674
-29.917813,93,28.485654
-172.472369,143,28.878273
-81.188415,103,29.154039
-67.398816,182,29.669976
-49.941159,74,29.913587
-69.937732,143,30.297361
52.775186,210,31.017357
-63.533085,109,31.410958
-19.775263,183,31.971042
-21.716764,82,32.20933
57.371099,270,33.147938
-42.451284,83,33.386221
6.046022,178,33.968349
-26.342187,190,34.566225
-45.607986,121,34.949609
-26.23175,91,35.253628
-54.667208,233,35.936868
-33.171611,128,36.317009
8.371412,95,36.586165
-1.692944,184,37.14096
-138.689382,1038,40.858355
-71.160987,574,42.687249
-289.81886,1162,49.349451
-88.131589,369,49.680571
-242.581276,973,51.373127
-261.723072,1136,52.950691
-240.903382,317,53.2317
-116.521295,1500,63.097056
-104.658013,1500,68.98421
-108.935128,1500,77.092864
-127.884748,1500,85.632719
-131.550192,1500,96.321078
-142.056389,1500,103.850083
-89.722537,1500,111.604369
-66.57035,1500,114.890993
-120.83547,1500,120.703137
-101.020724,1500,123.405423
-122.233447,1500,126.229955
-120.741844,1500,131.916389
-94.886217,1500,139.230235
-124.661461,1500,146.280816
-64.145941,1500,152.84649
-88.940102,1500,159.736521
-136.821011,1073,164.012955
-144.857748,1500,172.828595
-120.880593,1500,175.601989
-77.067687,1500,179.041188
-133.250689,1500,182.275378
-253.412002,983,183.499854
-73.504437,1500,189.289205
-90.356354,1500,196.11897
-114.672753,1500,203.051365
-195.792264,1500,210.648606
-74.558918,1500,218.247
-241.693628,1045,222.818276
41.586378,1500,231.199609
57.60645,1500,234.787561
69.396828,1500,236.871485
96.094525,1500,240.727075
49.577237,1500,243.890018
-8.759112,1500,249.886828
-1.79441,1500,256.281717
89.110631,1500,261.88225
-26.593637,1500,268.199988
-69.945849,1500,274.992043
-61.590341,1500,280.35093
90.619876,1500,288.420874
52.876806,1500,290.46915
52.021279,1500,294.938832
12.68736,1500,298.165417
94.642809,1500,300.821814
5.794268,1500,306.621409
-123.420677,1500,314.321308
88.553841,1500,319.580637
-57.727807,1500,325.559516
-112.72604,1500,332.630687
-102.500029,1500,339.545976
135.592286,1500,344.280741
-124.242781,1500,346.640037
-128.677698,1500,349.627991
-164.612365,1500,351.4623
80.823072,1500,353.219122
-95.372332,1500,359.810104
-93.569196,1500,365.22912
-112.089705,1500,370.625609
-28.816556,106,370.919807
-67.458012,1500,377.950847
-129.017506,1500,383.34082
29.270897,1500,390.344828
-100.531431,1500,397.981162
-2.247513,1500,400.358946
155.080416,1500,402.731305
134.368655,1500,405.594644
66.433707,1500,408.022715
96.479467,1500,413.866477
142.234715,1500,420.095849
118.3205,1500,425.354564
148.204375,1500,430.178492
164.003476,1500,434.736808
-516.233941,70,434.928659
141.753914,1500,439.52268
52.750616,215,440.109076
3.115275,160,440.542999
62.456267,194,441.083984
36.335489,147,442.188377
-19.79731,100,442.239466
18.720949,1500,444.612815
156.578184,1500,445.859479
30.894443,152,445.94244
136.082053,1500,451.772628
109.926987,1500,456.59718
-47.252412,158,457.036654
169.68373,1500,461.485926
138.198262,1500,465.928058
-6.763886,174,466.406621
123.050246,1500,471.545414
163.106659,1500,476.643187
-0.277407,138,477.030919
28.458661,147,477.439427
-29.671207,133,478.65836
-1.552506,153,478.736884
-96.471154,706,479.429834
-83.752223,722,480.226162
-8.323548,151,480.306188
-55.858848,84,480.539919
-199.609006,547,482.334157
-37.05518,817,485.191544
-0.7571,274,485.979071
122.866316,1500,490.786987
129.61884,1500,496.232285
16.782425,81,496.454409
84.651725,1500,501.814115
17.831453,139,502.174067
117.422422,1500,507.325108
-11.258889,151,507.739363
108.490003,1500,512.413017
150.640382,1500,515.748292
48.106768,114,515.809694
150.496328,1500,517.256343
176.200857,1500,518.218259
154.468125,1500,519.741545
