#{"t_start": 1658948008.1539516, "env_id": "LunarLander_obs-v1"}
r,l,t
109.667149,125,61.839706
91.348127,63,62.070466
43.075849,90,62.432049
142.558163,97,62.699319
144.936781,107,63.022057
101.464494,85,63.248489
98.469221,66,63.430859
106.108793,75,63.635374
102.021545,66,63.80966
157.768452,105,64.092178
117.966045,92,64.337071
181.399758,92,64.582994
98.821843,137,64.968812
130.278397,104,65.250592
109.602801,63,65.416268
101.476861,77,65.626613
92.213072,82,65.853668
125.084573,96,66.123501
129.86443,82,66.347391
90.410731,111,66.651424
87.02779,77,66.881011
104.951347,85,67.146656
47.190335,86,67.395957
97.893164,75,67.633759
165.848117,81,67.846277
92.708292,107,68.140836
119.154346,88,68.39319
160.64027,90,68.698673
156.944944,71,68.912524
190.087001,95,69.198316
121.787577,51,69.351804
171.102483,151,69.841929
104.667658,81,70.088934
148.220894,73,70.313285
-161.88948,438,71.791259
126.055911,87,72.042505
42.031619,85,72.279903
158.187934,155,72.780114
-134.298406,174,73.287832
-128.463431,169,73.809111
73.268,95,74.087764
114.967756,98,74.364208
168.068243,87,74.688801
107.355997,65,74.945993
193.747126,57,75.155099
117.196444,56,75.363842
135.032021,126,75.842514
85.766173,78,76.139441
183.815038,54,76.330079
121.040488,161,76.955829
186.805618,93,77.313385
132.889522,55,77.498892
179.373599,53,77.699469
127.400351,135,78.203207
175.041579,103,78.584483
123.416436,58,78.812311
74.732664,86,79.110797
144.345381,53,79.295582
121.753095,129,79.788969
26.673504,86,80.135134
200.565426,79,80.443863
211.364265,66,80.694404
202.792469,74,80.982876
184.726184,80,81.274215
177.504934,70,81.511862
93.348721,68,81.750561
141.244315,65,81.997021
165.950894,67,82.23104
181.283486,85,82.5466
156.711765,84,82.845076
110.778908,70,83.081739
124.322691,99,83.429372
129.585146,57,83.621136
98.064917,72,83.872669
128.046508,54,84.06831
93.278285,92,84.399542
11.360924,167,85.005119
110.03367,72,85.263755
133.39418,67,85.510638
144.940878,56,85.710106
204.508804,73,85.96032
110.644452,55,86.161081
86.64795,78,86.446395
124.56791,59,86.652077
116.56477,66,86.892336
179.773367,98,87.231866
106.334619,54,87.432643
119.472642,75,87.712473
140.966463,68,87.956418
109.908017,57,88.148151
129.074071,66,88.376763
180.273673,88,88.691473
174.172908,73,88.961607
168.302147,76,89.240257
90.014157,87,89.55415
129.094132,77,89.846459
76.073436,77,90.13107
92.47137,62,90.35252
195.891817,73,90.624732
189.909332,93,90.962447
150.720671,61,91.171409
154.828593,92,91.493056
127.008077,58,91.702442
144.127552,57,91.908286
125.764901,61,92.124226
127.699781,64,92.356302
73.028082,84,92.656497
176.572828,55,92.853585
89.091805,75,93.132452
175.80527,56,93.33187
190.400046,56,93.536235
177.509611,81,93.822063
171.239471,66,94.047444
121.417789,61,94.27672
195.828397,81,94.542965
58.161557,72,94.588672
34.647349,80,94.638317
184.722748,68,94.677788
189.580331,80,94.724055
136.525158,54,94.946014
192.297936,78,95.221926
136.140483,72,95.480284
180.619168,59,95.70364
204.37732,68,95.941673
160.667928,83,96.245581
193.670211,75,96.513776
146.812962,54,96.710119
100.662461,59,96.922832
180.869673,89,97.237149
180.710431,78,97.533234
106.560145,85,97.840681
140.374342,52,98.024682
179.914167,54,98.210187
131.434086,79,98.49696
127.311404,84,98.793861
136.803782,74,99.056376
42.507787,86,99.343351
185.41165,58,99.554292
193.464079,60,99.763196
112.927623,50,99.937766
120.681924,52,100.124443
190.875086,70,100.373735
197.225334,70,100.613286
145.133101,69,100.858741
131.234317,89,101.193616
29.971444,88,101.513305
176.52257,53,101.697055
130.146882,70,101.93821
106.710342,73,102.203625
126.121377,69,102.441694
166.656523,90,102.755656
112.492393,62,102.981575
137.241863,64,103.211154
161.524868,83,103.509776
139.638514,73,103.770078
181.787141,58,103.963306
145.153432,90,104.269497
184.828471,79,104.550788
198.405347,68,104.788373
182.688956,65,105.020248
103.080668,64,105.254146
159.154414,71,105.50819
157.469883,53,105.688759
152.996006,55,105.880977
89.408401,86,106.194442
136.956555,84,106.496577
106.441284,58,106.712922
53.384119,69,106.96355
104.994429,84,107.270189
171.940305,66,107.49781
144.530882,77,107.780734
145.184876,55,107.963891
157.029295,83,108.265352
61.847393,83,108.56314
185.686201,62,108.774552
148.416677,82,109.060293
194.518916,62,109.265279
163.158255,68,109.507105
180.212405,63,109.729933
167.104054,66,109.971395
89.990821,81,110.245204
148.73095,68,110.487924
185.00851,55,110.682726
137.382492,71,110.928838
158.675964,59,111.152269
63.890563,88,111.471098
183.825526,55,111.655946
138.693246,87,111.955853
126.992112,60,112.159436
101.303387,81,112.439739
116.323169,54,112.622599
152.112512,83,112.921968
118.442136,63,113.156554
173.738261,73,113.407304
117.979228,56,113.604677
174.255325,58,113.813455
197.447889,74,114.065038
174.389753,52,114.246518
58.902959,63,114.477377
116.403802,59,114.690246
170.056921,87,114.992279
139.648703,65,115.231475
78.651772,71,115.483714
47.867321,95,115.828893
113.429262,78,116.126002
166.855805,96,116.456129
125.647898,59,116.661922
170.426172,76,116.938834
144.495658,64,117.16233
144.658037,63,117.392468
129.190928,60,117.604048
93.826858,72,117.857731
34.761468,65,118.085628
185.046455,66,118.314258
126.388709,62,118.526088
123.498926,88,118.840332
197.956007,75,119.101832
137.511558,75,119.360734
200.647186,71,119.608186
190.287766,66,119.838181
113.582372,90,120.159345
87.234651,55,120.346468
158.657504,56,120.537214
108.680108,71,120.797283
97.736899,56,121.004094
133.590215,84,121.294012
148.086054,69,121.536088
175.55441,55,121.736864
160.435854,85,122.0397
186.933501,63,122.271626
70.994694,76,122.548128
71.485523,82,122.840574
87.657031,87,123.149283
127.864626,70,123.404607
120.889255,55,123.591651
193.866025,68,123.815386
175.991175,65,124.046181
140.30547,64,124.273687
21.401052,91,124.602896
91.528385,78,124.8739
112.068915,59,125.096238
120.264316,86,125.407013
97.257069,61,125.640578
66.140328,86,125.944558
88.122445,78,126.224739
161.741704,57,126.423214
66.821519,76,126.680377
103.454444,60,126.893207
120.620079,59,127.11056
130.353243,68,127.358166
133.137693,55,127.546146
158.504386,87,127.86676
122.001828,76,128.144195
189.385001,78,128.418054
108.009521,80,128.708386
104.971302,89,129.015616
107.612891,75,129.283424
175.22651,63,129.50359
104.148104,70,129.758545
136.649683,55,129.957315
91.156988,84,130.257621
189.558392,61,130.308343
43.939185,78,130.361337
114.230695,80,130.407611
137.465087,55,130.439958
46.686325,82,130.49106
174.529531,76,130.782689
152.890455,57,130.989651
188.35642,60,131.193853
109.522221,76,131.457862
45.776867,88,131.767844
70.805989,81,132.061119
137.649886,72,132.324113
109.235169,65,132.555596
93.195509,72,132.812388
176.963889,90,133.14553
67.296982,77,133.41649
135.041098,62,133.635874
104.517646,60,133.842642
157.920381,71,134.0905
179.796898,62,134.312897
45.124602,85,134.606027
156.952345,66,134.827391
191.548425,82,135.119306
98.114359,70,135.362317
152.56201,73,135.632303
98.45127,67,135.871051
164.742308,53,136.066335
127.64088,60,136.280113
171.018991,53,136.470223
106.323105,71,136.729696
133.410092,90,137.055963
174.971687,67,137.296979
184.793636,72,137.554568
163.936945,68,137.7909
88.71761,60,138.006442
163.516235,68,138.241402
124.247984,90,138.552396
198.777387,77,138.815848
70.484937,90,139.124966
188.860905,76,139.383139
108.416751,74,139.661531
93.180887,57,139.865046
101.451061,97,140.211524
121.915786,53,140.404056
128.937943,64,140.625749
141.326393,75,140.890272
185.148391,63,141.109788
176.218606,53,141.288473
82.05161,73,141.544617
184.105854,64,141.763409
127.962119,85,142.079254
108.938484,87,142.389304
133.759997,89,142.71414
116.742212,57,142.919186
169.020638,54,143.105014
86.290234,55,143.30329
86.83859,78,143.575106
34.780576,82,143.860862
189.906856,64,144.088356
189.221178,89,144.389737
65.552594,82,144.683253
133.377796,56,144.885812
172.400013,71,145.138786
85.527764,87,145.440675
162.520098,53,145.644375
102.869966,58,145.847113
121.058396,63,146.075258
148.320906,56,146.273034
144.648524,65,146.50446
171.917655,53,146.679529
136.136263,82,146.96574
115.436393,58,147.171065
188.470056,93,147.528975
132.890383,66,147.763489
147.038703,70,148.022053
137.892959,80,148.310292
40.240022,69,148.560861
67.572869,91,148.89386
171.583723,91,149.208654
155.091267,76,149.473848
150.803657,58,149.690238
147.974659,84,149.991009
181.338933,55,150.192352
74.830875,54,150.381624
175.653451,56,150.584886
181.285262,55,150.778202
122.853245,58,150.987422
143.121525,56,151.192111
168.429449,53,151.394196
166.146117,52,151.574257
117.610638,68,151.813325
146.281672,82,152.098752
20.512025,89,152.412566
114.704112,80,152.685823
158.883822,57,152.893699
133.126425,76,153.158465
179.775208,66,153.386397
205.147216,81,153.660884
175.113331,93,153.993926
