#{"t_start": 1658948357.86312, "env_id": "LunarLander_obs-v1"}
r,l,t
47.536495,67,0.228995
147.183533,85,0.491991
-84.576444,107,0.836417
94.025742,76,1.070192
137.396491,58,1.25893
41.040576,66,1.465342
-51.424968,69,1.684408
71.600014,101,2.01539
-190.233549,84,2.281973
-128.78486,91,2.569669
5.010321,104,2.911945
122.242325,91,3.20071
59.973047,74,3.442019
74.592067,92,3.734464
63.57616,82,3.996997
58.780519,103,4.333986
11.347484,84,4.611823
131.552106,65,4.818851
112.932108,93,5.124163
25.834397,71,5.359782
149.613665,111,5.72915
-65.394699,125,6.147128
97.645304,65,6.349069
141.003274,69,6.568568
78.102448,101,6.898756
-0.337157,102,7.233607
103.151205,79,7.489632
66.044501,80,7.7461
142.450062,74,8.215169
29.726869,66,8.41833
173.229303,90,8.710769
61.857211,66,8.91976
64.550728,112,9.288103
51.678597,65,9.486565
9.597709,77,9.74008
55.7,78,9.980477
145.475045,90,10.286797
134.910787,76,10.53244
48.429432,84,10.811697
81.840813,114,11.183947
-48.259036,101,11.517938
89.200799,84,11.800588
169.990304,102,12.148633
75.410288,70,12.378559
109.037544,77,12.633361
188.150951,74,12.867688
46.788441,92,13.170781
160.330121,65,13.38549
167.609808,95,13.700088
150.737878,107,14.053511
104.779059,104,14.405138
89.816924,75,14.66266
77.981282,74,14.905248
117.371504,87,15.201086
167.116115,102,15.536947
96.889629,99,15.87688
24.520923,98,16.21874
98.862374,94,16.527089
120.876652,89,16.80424
162.559988,65,17.02943
182.403558,75,17.269244
127.473265,64,17.486636
200.701548,80,17.758394
83.015355,94,18.079901
185.083111,72,18.656677
163.946578,83,18.943614
101.822585,76,19.194255
76.097265,90,19.495381
75.950329,77,19.758742
124.540001,72,20.002764
120.223621,84,20.292169
130.979738,55,20.476704
179.098643,77,20.722927
186.853737,66,20.948157
13.110258,88,21.243719
177.381423,72,21.490189
164.694779,94,21.81132
181.386015,90,22.134216
52.945513,97,22.474098
155.760622,87,22.800593
43.321584,100,23.175696
191.680453,91,23.645935
136.156131,89,23.962208
62.934787,77,24.247349
138.667325,59,24.453655
200.033257,84,24.756362
119.68795,71,25.016135
162.746772,64,25.248468
81.281511,71,25.518587
117.940831,70,25.789125
184.156268,63,26.02076
187.47061,67,26.260425
155.567711,91,26.58572
182.460047,83,26.884619
152.560212,62,27.111423
192.535783,79,27.384185
124.905683,77,27.649575
125.56988,100,28.095204
106.395978,55,28.349228
188.060726,84,28.690446
110.495484,85,29.029929
72.930711,68,29.276542
96.866886,82,29.558662
92.442634,68,29.791753
130.528185,83,30.07985
101.597719,88,30.384215
141.419216,61,30.582879
109.463805,73,30.830215
92.142065,71,31.083452
60.227738,87,31.386707
107.162313,61,31.546368
54.581233,86,31.77044
166.353199,64,31.940895
143.712166,100,32.203646
19.598158,71,32.410764
117.446839,55,32.68504
130.498079,64,32.910869
138.356777,58,33.077967
114.789219,58,33.235688
170.058947,74,33.494147
94.365974,58,33.717677
54.744719,93,33.968174
167.547739,82,34.185403
75.861288,61,34.311057
164.358886,82,34.346799
165.849463,94,34.390321
170.419059,85,34.44303
151.467584,60,34.471501
16.524151,88,34.757484
95.692769,59,34.933843
170.12387,63,35.102622
173.01853,61,35.263002
91.010389,85,35.484166
136.553033,82,35.702877
87.499729,86,35.925446
154.521303,76,36.167571
91.290771,59,36.369129
122.348182,58,36.527478
121.313563,61,36.689857
161.783725,79,36.892434
133.934779,78,37.083562
81.828157,79,37.289075
96.688506,63,37.479703
172.314528,71,37.670574
129.045757,72,37.874235
126.122728,58,38.041385
110.460721,64,38.261267
24.949006,75,38.488633
113.533586,96,38.743704
110.094029,100,39.011381
69.667323,91,39.258215
140.905188,69,39.450014
56.177395,101,39.715536
136.766826,73,39.908128
73.645787,87,40.217103
127.100689,76,40.446241
154.68062,104,40.767877
133.052005,94,41.081227
124.306629,71,41.29829
152.48627,74,41.516987
90.76073,66,41.730858
75.127099,94,42.004626
93.788939,67,42.195093
108.011418,66,42.409995
95.810593,80,42.633377
143.46294,90,42.878308
115.449209,77,43.168209
95.567864,86,43.409909
80.562941,89,43.676477
117.087318,79,43.960658
106.45683,70,44.236595
170.549894,84,44.612881
93.625608,76,44.911264
77.526925,78,45.220456
116.131118,87,45.565881
178.903015,88,45.900313
96.542136,73,46.174238
106.362571,95,46.529973
93.974059,78,46.798981
154.64317,83,47.110703
96.365592,83,47.407797
69.852376,76,47.683254
116.630253,69,47.926367
153.407944,102,48.295707
126.861466,83,48.58522
73.697153,81,48.880239
57.411141,94,49.207162
134.214382,88,49.51634
108.785824,76,49.785344
100.062181,80,50.066981
123.494322,84,50.357854
104.814845,72,50.613667
124.212291,96,50.949789
128.252055,84,51.245395
135.379158,85,51.539138
111.481854,109,51.925792
118.500349,107,52.297835
173.845963,92,52.628679
88.914397,113,53.031085
107.857799,79,53.30917
176.159083,91,53.630681
99.299868,87,53.926292
54.24156,78,54.181723
27.136836,81,54.461662
51.439637,109,54.817205
163.356879,118,55.215507
170.985074,110,55.610774
55.253072,74,55.865717
144.660444,90,56.186195
38.759245,78,56.457312
82.24745,69,56.708896
82.410075,73,56.963377
115.892918,99,57.312198
145.836485,84,57.608772
78.389398,97,57.947188
80.602919,69,58.188776
130.75285,118,58.607728
78.626469,72,58.863397
26.610753,85,59.162366
45.349416,118,59.580693
148.145457,102,59.941129
83.846725,113,60.328774
110.643784,96,60.668257
108.461315,108,61.049279
79.537104,95,61.387186
169.235556,87,61.70139
104.292848,98,62.04787
169.511762,81,62.335735
10.481733,102,62.710824
129.864633,101,63.064643
119.935181,89,63.374502
107.072826,94,63.714844
98.647219,93,64.040694
103.741846,89,64.34795
130.342815,128,64.797255
96.890575,115,65.196083
179.542772,105,65.554322
145.642461,100,65.896048
81.944693,108,66.265808
127.616924,134,66.746803
76.577156,108,67.134446
81.184685,98,67.484388
115.734103,137,67.983824
3.303963,124,68.078511
78.334317,83,68.131749
155.027954,124,68.207918
72.844744,94,68.29436
139.285058,118,68.400925
181.858894,109,69.023963
174.902739,109,69.407859
127.947196,126,69.851136
100.949647,80,70.131877
74.462524,84,70.439966
100.872393,88,70.760766
45.913746,89,71.076771
136.89871,128,71.51835
79.028478,87,71.823037
22.1641,76,72.078738
92.510432,98,72.417103
99.994445,91,72.730051
82.122836,82,73.016256
24.643235,88,73.329041
81.217572,117,73.790558
105.518175,117,74.229685
70.898211,80,74.517119
125.352495,139,75.009238
41.601057,115,75.478501
88.047404,134,75.899099
-6.312083,175,76.379503
110.365354,94,76.665661
100.997685,96,76.922294
15.320358,209,77.536294
84.061419,73,77.730596
93.128861,121,78.065918
-0.746602,274,78.840414
68.196893,108,79.134546
58.261512,75,79.345004
164.968949,114,79.647084
94.776234,81,79.871468
19.111792,141,80.245685
-8.556988,286,81.050455
118.959481,130,81.394289
178.507278,99,81.650153
18.064477,227,82.248735
85.366078,56,82.392843
104.118895,131,82.737454
81.473217,82,82.953779
168.406051,101,83.209866
184.922851,107,83.489989
118.727324,155,83.887223
8.209099,89,84.122825
212.359788,71,84.297854
189.892191,77,84.505001
22.262352,84,84.73249
92.729466,57,84.88364
91.696144,90,85.122832
109.539144,58,85.280813
137.392934,60,85.44125
161.553565,91,85.697083
108.724076,65,85.869232
77.800585,83,86.093773
178.308722,60,86.255126
105.416159,62,86.415147
177.368433,73,86.608126
167.839399,88,86.844421
23.795344,81,87.067888
140.513028,56,87.2199
