#{"t_start": 1658829223.542336, "env_id": "LunarLander-v4"}
r,l,t
14.502549,139,85.497753
-107.90525,69,85.733062
-127.372668,91,86.026546
-125.711145,90,86.331728
-0.036858,83,86.610953
-253.815589,112,87.032851
-90.697702,109,87.474643
-51.757371,90,87.811767
-12.012198,117,88.253578
-47.122992,78,88.524949
-13.692435,105,88.896963
-91.993536,74,89.17085
-35.15266,106,89.512931
-38.550734,74,89.750297
-118.10892,112,90.111017
-167.346313,87,90.399246
-175.169114,123,90.801174
-85.045233,120,91.199627
-44.107858,76,91.443994
-88.810732,67,91.670367
-28.197039,105,92.019974
-63.899112,59,92.229442
-99.811222,89,92.544199
-35.581611,113,92.962337
-78.87018,71,93.237624
2.630737,79,93.51788
-73.528625,91,93.837026
-108.418422,77,94.098319
-311.900186,145,94.604969
-87.377928,99,94.949557
-218.288757,138,95.448219
-67.555615,123,95.87408
-19.461822,112,96.276005
-6.773991,96,96.648598
-169.560996,117,97.137263
-41.342765,116,97.562134
-23.160835,103,97.926179
-94.719377,108,98.320334
-22.273283,151,98.863073
-85.922524,104,99.220407
-34.552224,84,99.504191
-68.75165,114,99.893294
-214.057598,108,100.246369
-88.306017,129,100.714031
-303.529791,126,101.192214
-60.816643,87,101.496002
-127.774321,122,101.894547
-95.134362,94,102.179813
-78.999849,100,102.485819
-123.591161,110,102.854447
-9.552516,112,103.216161
-33.500257,108,103.563328
-48.619832,103,103.893416
-152.215495,99,104.203961
-41.938173,118,104.569264
-30.095719,119,104.925345
-72.798499,69,105.170687
-74.073184,63,105.517831
-90.292935,102,105.855018
-43.355556,122,106.24819
-39.045147,84,106.654998
-93.071097,87,106.969103
-44.350531,91,107.283039
-14.3177,118,107.684126
19.948742,85,107.981951
-14.865802,86,108.263291
-40.704572,112,108.642226
-41.804065,75,108.896099
-7.304455,124,109.324638
-55.821813,145,109.808063
0.564435,64,110.018099
10.495008,118,110.419124
-4.35713,93,110.729912
-82.630687,109,111.09451
-16.646729,76,111.352843
-146.684811,87,111.651186
-1.455568,110,112.02485
-99.921456,82,112.3079
-179.224341,412,112.853443
-111.105982,123,112.95221
-130.542317,117,113.04396
-278.371956,661,114.137058
-311.7334,786,115.187726
-11.711283,81,115.547745
-93.072273,130,116.065022
13.389244,99,116.437974
-59.561293,84,116.757711
-106.641023,97,117.104814
-21.228546,81,117.387712
-68.414358,117,117.834555
-117.94949,130,118.293002
-66.828503,92,118.613958
-54.992189,83,118.915973
-205.895022,116,119.297951
-8.124903,80,119.576767
-105.095716,81,119.855589
-71.837743,84,120.162187
-127.284062,151,120.704839
-36.067747,83,120.982089
-108.259898,138,121.470162
8.914045,90,121.781038
-10.936479,76,122.039011
-66.601388,83,122.307914
-82.70311,109,122.679157
-56.504007,95,122.992908
-57.257963,122,123.4121
-86.623198,118,123.801208
-49.226782,66,124.02527
-65.900923,81,124.290563
-16.709925,90,124.593778
-51.672147,118,124.987926
-73.822713,97,125.313684
-108.04822,102,125.672318
-49.823576,98,126.006689
-72.223983,269,126.958203
-41.961963,111,127.331644
24.451483,145,127.826777
-24.757884,153,128.332959
-73.865367,87,128.624498
-42.050515,126,129.037203
-25.079423,105,129.381939
-128.471039,97,129.766904
-187.30883,114,130.159852
-128.645729,112,130.587708
-78.460293,157,131.143221
-21.783105,89,131.466356
-87.4035,93,131.789491
17.866786,158,132.331633
18.594917,107,132.698471
-53.138758,107,133.07646
-58.389999,94,133.395009
-46.102418,97,133.737093
-60.608298,111,134.114084
-77.56462,124,134.529965
-154.340173,127,134.967397
-105.175269,123,135.435583
-109.265407,130,135.919034
-56.965586,94,136.271475
-17.95436,114,136.65145
-63.130557,138,137.143677
-24.424649,93,137.457834
-47.829025,132,137.914179
-36.459648,142,138.533502
-44.553037,110,138.906523
-102.411795,145,139.396214
-97.283718,102,139.740871
-108.952316,149,140.244523
-96.516002,77,140.5148
-5.159091,96,140.849902
-159.502583,86,141.158078
-88.774811,116,141.562295
-63.189058,129,141.998366
-49.461934,116,142.42223
-56.980748,93,142.751946
-112.332506,187,143.430693
-67.016695,124,143.845132
-24.704537,107,144.240083
-211.297294,128,144.831851
-56.843368,74,145.079213
-11.678092,144,145.586085
-76.546787,94,145.91022
-105.041477,96,146.25829
5.385518,102,146.767341
-130.053296,91,147.156301
-56.417767,115,147.732758
-71.555074,142,148.272516
-28.506886,99,148.658483
-87.493933,161,149.376679
9.947391,106,149.794562
-31.031096,73,150.064811
-4.219701,134,150.623893
34.35007,125,151.0634
-265.638724,859,152.742939
-149.344778,194,152.907009
-192.161117,317,153.238218
-206.795222,197,153.413905
-258.679331,290,153.685155
-121.004607,145,154.216295
-62.554682,103,154.566359
-129.852849,119,154.986332
-212.167303,273,155.972086
-56.959821,105,156.334118
-46.851569,147,156.834312
-179.521279,94,157.169426
-150.80717,136,157.658284
-120.574282,89,157.963466
-60.372119,137,158.438196
-28.068943,82,158.731413
-36.889844,94,159.048563
-132.998416,76,159.306872
-250.902365,381,160.909649
-66.634541,136,161.374405
-195.584981,98,161.712473
-91.916584,123,162.145343
-25.905194,122,162.577187
38.737457,104,162.946199
-107.852046,143,163.453386
-81.012943,190,164.138918
-181.703051,113,164.527877
-212.984316,280,165.553134
-5.727646,130,166.025869
14.363538,74,166.284178
-40.293339,137,166.763443
-149.595676,162,167.351869
-122.319778,121,167.800407
12.543057,94,168.125537
-206.608671,109,168.535792
43.49571,194,169.497535
-203.121799,273,170.624519
-145.344762,158,171.183025
-113.787806,179,171.813338
-197.661402,154,172.377366
-40.230284,125,172.803226
-99.06884,335,174.073272
-149.661948,134,174.548993
-216.679446,404,176.098002
-27.332615,97,176.432107
-203.079222,687,179.589382
-113.0314,111,179.972358
-98.449949,586,182.557616
-49.224967,144,183.087746
-69.516338,96,183.424844
-3.093488,123,183.85356
-30.369261,132,184.312331
-179.507841,193,184.982537
-75.001566,143,185.483191
10.086746,138,185.959924
