#{"t_start": 1659020093.190693, "env_id": "LunarLander-v3"}
r,l,t
-40.865376,180,146.522016
-28.109312,145,147.201827
-76.099121,93,147.625844
-59.563826,56,147.8893
-74.071823,165,148.665123
-53.804612,110,149.182399
-110.282506,126,149.769975
-47.261236,188,150.657503
-26.654341,68,152.355261
-33.820391,91,152.414569
-64.886381,99,152.482378
-88.514509,82,152.534297
-8.33118,96,152.596612
-75.393077,105,153.117239
37.595867,174,153.949157
-29.233999,280,155.292268
-24.719094,186,156.15851
-53.620091,530,158.788501
7.82109,1500,167.512547
-65.523655,288,168.95592
-48.535855,107,169.451613
41.057969,222,170.507165
-235.288917,273,171.824981
-91.242678,88,172.2312
-27.975875,100,172.707989
92.560805,1500,181.753867
-111.866168,99,182.222385
-31.388212,180,183.09647
-62.872046,136,183.757746
-22.124814,153,184.4843
-5.467677,100,184.95783
68.06383,1500,193.651221
-55.304661,168,194.443684
62.76254,1500,203.162439
-320.642839,109,207.619418
-364.72867,131,207.71967
-369.924386,138,207.827763
-285.149962,111,207.909368
-352.630733,120,208.002667
13.722902,326,209.649788
-51.040089,111,210.182769
-93.733085,53,210.432292
-28.668515,114,210.974915
-21.86645,83,211.364702
-4.572792,83,211.747879
-12.914246,74,212.094491
38.673729,109,212.615885
8.100142,147,213.324153
24.988754,111,213.869689
-8.237542,117,214.431913
-40.028412,75,214.781362
15.140048,109,215.302205
41.35253,1500,223.73337
-12.693481,1500,232.905426
-40.168912,541,235.736941
176.839107,1500,243.664967
-36.135168,152,244.420735
-26.788289,104,244.917448
-23.135461,183,245.809486
-218.270708,513,248.479022
140.463049,1500,257.159536
-97.859548,220,262.689424
-65.946939,173,262.83953
-58.388201,345,263.192676
-98.950407,209,263.372153
-78.361618,235,263.590403
108.325576,1500,271.356698
-326.581147,100,271.823042
-377.035362,156,272.579136
-53.348258,271,273.933162
47.573919,1500,282.646669
-102.988907,160,283.418183
-223.785422,942,288.554212
-81.736951,378,290.479402
73.210774,1500,298.438242
-184.554461,1500,306.829762
-151.976823,1500,316.058143
-230.81984,674,319.728781
-219.469812,597,320.569671
-184.552286,491,321.18343
-197.385367,571,321.925916
-295.447219,1370,324.727163
-210.297219,1500,333.382438
-271.943079,1337,342.1232
43.300905,1500,350.499439
-74.425823,424,352.67241
-158.349462,1500,361.522427
-116.081027,483,363.98217
-216.268789,1500,372.760333
56.711984,1500,380.81856
69.320465,1500,385.326077
77.793354,1500,388.245598
56.953114,1500,391.037518
62.797999,1500,393.954155
-20.744534,227,394.168139
-24.232385,119,394.761576
140.966006,1500,402.732964
177.139178,1500,410.746663
68.509532,1500,419.205906
-52.782879,92,419.635123
52.377531,1500,428.007488
-67.803101,1500,437.191447
-86.747591,1500,446.730506
85.51883,1500,454.053251
-113.453312,1500,456.7367
-153.381003,1135,458.673111
-15.680634,1500,462.495042
-115.966472,1500,465.389012
-12.311109,88,465.81717
12.9796,1500,476.312403
20.354337,80,476.70143
39.171523,192,477.600914
39.08859,1500,486.345935
131.224356,1500,494.030905
113.284631,1500,501.767321
-66.289926,89,502.186679
-105.130089,456,504.50314
-54.080395,1500,513.038999
140.243646,1500,520.854535
67.297033,1500,523.761875
114.172293,1500,526.744747
91.84635,1500,530.018908
140.414631,1500,532.630728
-14.497691,312,532.976002
-33.42106,96,533.451321
133.073431,1500,541.78772
168.750501,1500,549.758843
-85.455869,154,550.511061
12.859069,1500,559.16396
-123.213917,200,560.148852
122.960525,1500,569.153525
-25.445726,214,570.208843
83.095466,1500,579.183873
95.997204,1500,587.180589
48.186214,1500,592.825671
-19.002746,1500,596.473367
56.598336,1500,600.70464
42.82912,1500,605.355649
42.005135,1500,608.78561
