#{"t_start": 1658916151.0932138, "env_id": "LunarLander-v4"}
r,l,t
-73.473768,111,79.433096
-91.520072,66,79.650515
-92.960732,119,80.045458
-42.206626,121,80.438406
-35.446622,76,80.688736
-60.286673,93,80.986938
-27.895727,70,81.222308
-0.338123,101,81.552426
-77.906461,116,81.933406
-177.562884,98,82.252325
-90.899367,100,82.578452
-149.841418,117,82.964422
-28.809077,76,83.20677
-76.303392,100,83.533889
-20.417334,162,84.067461
-126.553738,115,84.444136
-228.785771,98,84.763282
-131.197699,95,85.079436
-43.370891,138,85.5412
-175.359585,121,85.937141
-114.536576,89,86.223393
-39.288444,115,86.608363
-30.475783,77,86.857695
-71.525566,132,87.28954
33.041564,172,87.866995
-167.254792,81,88.127298
-125.296126,138,88.589062
-88.098617,119,88.990986
-70.599898,91,89.286196
-79.244599,121,89.696402
-110.897304,91,89.99465
-67.647263,103,90.331748
-197.447045,212,91.071057
-55.461616,118,91.468286
-117.362469,83,91.733566
-106.966167,111,92.0976
-27.813131,129,92.523452
-90.043398,116,92.908404
-93.418022,83,93.184665
2.840096,109,93.540275
-2.89871,114,93.921255
-58.126993,123,94.326172
-63.484245,103,94.656302
-69.628077,117,95.054021
-102.882176,98,95.370167
-100.93812,95,95.688316
-108.382303,102,96.014449
-124.876436,97,96.339114
-70.930989,95,96.643303
-84.729588,105,97.017324
-76.915855,94,97.321022
-77.984539,115,97.69901
-32.393331,75,97.94934
-104.651242,105,98.295414
-46.704075,83,98.575409
-70.835067,100,98.90453
-150.702593,96,99.219685
-32.027,116,99.609641
-31.084774,101,99.936767
-115.933539,109,100.29082
-55.140386,89,100.58303
-153.729092,98,100.912159
-125.32919,136,101.363947
-161.841951,106,101.709028
-35.654799,94,102.020566
3.473793,90,102.312777
-99.745279,79,102.578073
-192.510036,88,102.867271
-5.921918,85,103.144558
-91.366894,185,103.772877
-11.907944,98,104.094016
-102.825202,117,104.48497
-71.190896,116,104.874927
-62.51172,157,105.41049
-174.793042,225,105.799453
-199.77106,202,105.955009
-198.204881,199,106.116576
-225.17213,263,106.344965
-211.42171,144,106.453674
-47.170746,166,107.024793
-44.371034,235,107.844888
-1.24212,95,108.154061
-61.301651,127,108.582913
-73.766642,122,108.993594
-143.170812,134,109.433443
-127.56249,135,109.87925
-138.260055,80,110.142545
-77.536415,90,110.426785
-57.342458,112,110.803776
-135.714688,85,111.08814
-56.382915,160,111.629684
-192.155788,146,112.117385
-24.76293,87,112.411571
-22.88029,98,112.734734
-75.538403,133,113.191483
-64.755364,105,113.537586
-66.633831,94,113.842768
-147.876239,110,114.214773
-146.926621,172,114.790227
-44.215978,82,115.05353
-28.52292,107,115.408572
9.501491,112,115.784572
-94.367623,201,116.477721
-193.117061,102,116.819818
-30.008333,164,117.369348
-9.366362,103,117.71917
-24.954193,165,118.268699
-157.213793,115,118.658396
-158.641493,147,119.143099
-89.488154,138,119.614836
-14.545823,172,120.187418
-110.903462,131,120.631232
-125.960502,163,121.18666
6.477782,173,121.775754
-53.462174,119,122.170696
-4.178192,128,122.602539
-66.758102,141,123.084253
-71.120016,119,123.476201
-48.408942,135,123.933971
-9.71756,129,124.371805
-74.2249,110,124.749794
-34.77255,129,125.18463
-103.743849,149,125.689281
-38.338002,138,126.160013
-178.259942,125,126.568926
-185.468179,108,126.932543
-80.083026,193,127.584797
-272.101699,247,128.43951
-9.55816,138,128.907502
-160.917226,100,129.243604
-10.564371,123,129.64553
-72.675688,154,130.166135
-155.983681,114,130.542129
-42.619897,97,130.881221
-162.386671,140,131.345951
-173.547058,146,131.824693
-129.376467,304,132.898138
1.250011,177,133.495539
-140.642224,157,134.030865
-166.015381,91,134.330065
-104.895858,213,135.065095
-139.269993,242,135.896869
-112.400486,84,136.178123
-227.428446,245,137.034831
-108.843374,141,137.519533
39.172869,177,138.125911
-213.37019,145,138.625235
-98.703576,112,139.007411
13.849528,121,139.41532
-211.368462,92,139.728484
-291.253471,141,140.361758
-287.444239,247,140.57023
-190.563593,193,140.725784
-217.848123,254,140.944227
-184.911709,92,141.01404
-162.853413,180,141.637373
-0.117797,121,142.052262
-43.27672,87,142.331509
-78.686313,292,143.393388
-73.759154,129,143.84007
-26.689799,111,144.208094
-36.786013,94,144.533221
-167.061377,107,144.892233
-116.055917,150,145.394912
-12.068127,110,145.773919
-13.797291,106,146.129967
-10.170069,107,146.496984
-201.762502,338,147.710875
-115.844763,125,148.147711
-36.889659,134,148.59451
-141.092638,110,148.975492
-16.281017,117,149.375393
-198.392773,263,150.289762
-66.091837,971,154.270139
-88.186799,153,154.805795
