#{"t_start": 1658943499.6384933, "env_id": "LunarLander-v3"}
r,l,t
-132.614555,68,0.180933
-278.237559,96,0.417933
-102.917886,67,0.579626
-166.203145,137,0.901899
-158.233715,58,1.049681
-118.192358,109,1.309974
-93.72921,79,1.509121
-104.113081,111,1.774981
-198.06164,80,1.986394
-125.913879,132,2.312994
-84.509804,76,2.496953
-88.070592,72,2.675426
-98.750481,75,2.846995
-145.554628,131,3.190367
-133.732207,78,3.380159
-186.537975,73,3.553994
-68.055707,67,3.724216
-98.115423,138,4.055619
-276.499372,115,4.347721
-142.935073,104,4.596705
-138.90612,70,4.768379
-83.90102,92,4.991627
-98.652228,75,5.188862
-92.115703,96,5.423953
-133.938306,115,5.711874
-92.298797,85,5.920848
-80.774658,121,6.228254
-106.266229,106,6.491806
-78.917276,107,6.761847
16.532165,88,6.975454
-77.087315,85,7.193375
-54.960579,76,7.385345
-90.505866,136,7.722437
-90.149522,65,7.887756
-91.703661,145,8.247132
-105.173144,96,8.491447
-65.231036,174,8.943882
-72.180383,74,9.130318
-72.65351,151,9.522633
-63.750414,170,9.962907
-48.682973,92,10.197584
-29.793498,79,10.385705
-67.225679,73,10.582008
-97.804096,130,10.902244
-25.441063,164,11.329474
-18.650247,138,11.688381
-20.864843,140,12.048089
-96.669821,124,12.366197
-63.379673,181,12.839847
-54.872417,275,13.615717
-69.550826,65,13.783894
-17.714666,215,14.36288
-108.607077,122,14.67103
-34.481857,223,15.282108
-41.714183,88,15.502708
2.741227,167,15.94151
-49.950798,162,16.364588
-76.359611,1500,23.099766
-149.670777,1500,29.665499
-111.127195,1500,34.71531
-262.547596,1446,37.296377
-140.931431,1500,40.202276
-139.093257,1500,42.376549
-191.902466,1500,44.307671
-132.591245,1500,50.215549
-211.861636,887,52.969396
-126.535895,595,54.946446
-125.346925,1500,62.667611
-154.692331,1500,68.475564
-100.324398,1500,77.459348
-174.274144,1500,83.483434
-163.072432,1500,89.310859
-114.018312,1500,92.560191
-247.595348,499,92.959769
-105.944143,1500,95.652037
-170.092958,1500,99.486381
-68.536643,1500,105.475546
-385.295732,1202,110.58622
-269.634503,1500,116.255764
-122.310445,1500,123.92579
-111.065659,1500,130.956234
-170.589015,1500,137.320095
-137.180769,1500,145.515055
-181.451131,1500,148.333361
-147.272805,1500,151.185808
-168.081041,1500,153.909284
-158.98412,1500,157.89153
-178.691156,1500,165.952031
-95.857428,1500,173.305099
-149.937876,908,176.691655
-141.878638,1500,182.643523
-96.857183,1500,188.57478
-135.978202,1500,194.224773
-105.838705,1500,200.219057
-130.89979,1500,202.967063
-119.194056,1500,205.247693
-164.387855,229,205.373617
-133.678554,1500,208.811017
-185.428707,217,208.926203
-150.497109,1500,216.604653
-198.022738,208,217.173737
-210.884282,234,217.828625
-278.315428,1003,222.041698
-39.54213,1500,229.066693
-181.61125,250,229.789201
-178.09134,329,230.801505
-102.983873,1500,238.506907
-224.305874,949,242.254655
-230.252835,720,244.798448
-108.4938,149,245.188844
-226.896696,535,246.940281
-149.838332,602,249.039069
-209.329556,669,251.769058
-103.523908,257,251.935971
-181.652583,682,252.988645
-129.692191,155,253.073112
-167.237078,630,253.857875
-225.453873,1020,257.651511
-205.865511,1500,264.420461
-134.306698,1500,271.576125
-91.641156,1500,277.900304
-120.759057,1500,284.273235
-85.545126,1500,290.223018
-100.101637,1500,300.075695
-467.714267,73,300.11268
-74.270334,1500,302.418378
-455.705138,142,302.499908
-94.814505,1500,306.528917
-263.160939,347,307.632761
-74.952832,1500,314.728488
9.321567,1500,321.021658
127.271704,1500,326.683925
135.943014,1500,331.629493
22.089569,1500,337.495965
98.44459,1500,342.986182
72.979305,1500,347.834391
119.381726,1500,349.968421
87.298002,1500,352.906692
149.019425,1500,354.185565
-116.848161,1500,358.457474
-130.153195,1500,363.931508
65.961053,1500,370.185631
49.678312,102,370.471765
81.643278,1500,375.758975
-28.378745,544,377.473929
-12.368599,92,377.714534
32.87642,1500,383.76773
122.416008,1500,388.777588
117.296812,1500,394.153067
129.687065,1500,396.470845
156.298477,1500,398.008375
170.954918,1500,399.570458
-28.902312,168,399.656796
157.143091,1500,400.854294
38.949551,144,401.256343
169.937952,1500,406.339007
103.410259,1500,410.997882
42.538195,1500,416.188589
64.981981,148,416.601045
35.262435,1500,423.137365
10.936811,168,423.603694
19.159522,163,424.053178
-27.448522,1500,431.607925
-29.729793,355,432.666216
9.381941,150,433.074796
10.699539,209,433.667474
-17.17362,206,434.255109
8.761838,180,437.589186
25.255556,142,437.66939
-30.242202,1500,440.290719
-200.338236,1500,443.996447
5.803134,165,444.086974
-27.641928,1500,449.568881
10.575648,154,450.003835
-105.231881,1500,455.839392
52.478071,183,456.325267
-86.403285,1500,463.557511
-75.828054,1500,469.451031
60.171671,1500,474.598199
14.516403,1500,481.517695
-80.830076,1500,486.222015
-117.622631,1500,489.741592
-96.7441,1500,493.175407
-153.584851,1500,497.482498
-138.986584,1500,500.172368
